Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Isaac Jones,35,34,31.7,5.7,9.9,.575,5.7,9.5,.596,0.0,0.4,.071,3.9,5.5,.712,2.3,5.3,7.6,1.5,0.5,1.1,1.9,2.0,15.3,isaac-jones-3
2,Myles Rice,35,35,33.2,5.4,12.4,.439,4.4,8.6,.510,1.0,3.7,.275,2.9,3.6,.811,0.4,2.7,3.1,3.8,1.6,0.2,2.6,2.7,14.8,myles-rice-1
3,Jaylen Wells,34,20,29.2,4.1,9.4,.436,2.0,4.4,.457,2.1,4.9,.417,2.3,2.9,.814,1.2,3.4,4.6,1.2,0.5,0.2,0.7,1.9,12.6,jaylen-wells-1
4,Andrej Jakimovski,35,35,33.6,3.3,9.2,.361,1.4,3.4,.412,1.9,5.8,.332,1.2,2.0,.600,1.1,4.5,5.6,1.3,0.6,0.4,1.0,1.8,9.7,andrej-jakimovski-1
5,Oscar Cluff,35,23,20.3,3.0,5.6,.538,3.0,5.6,.536,0.0,0.0,1.000,0.9,1.3,.660,2.0,2.4,4.4,1.2,0.5,0.9,1.3,2.5,7.0,oscar-cluff-1
6,Joseph Yesufu,6,6,25.3,2.3,6.3,.368,1.0,2.5,.400,1.3,3.8,.348,0.2,0.3,.500,0.3,1.7,2.0,1.8,1.0,0.0,1.0,2.8,6.2,joseph-yesufu-1
7,Rueben Chinyelu,35,12,13.8,2.0,3.3,.617,2.0,3.3,.617,0.0,0.0,,0.7,1.3,.489,1.9,3.1,5.0,0.1,0.2,1.3,1.1,2.2,4.7,rueben-chinyelu-1
8,Kymany Houinsou,35,10,20.2,1.6,3.7,.435,1.5,3.3,.452,0.1,0.5,.313,0.9,1.4,.600,0.9,2.5,3.4,2.1,0.4,0.7,1.2,1.3,4.3,kymany-houinsou-1
9,Isaiah Watts,31,0,10.2,1.3,3.0,.435,0.5,0.7,.609,0.8,2.2,.377,0.3,0.4,.615,0.0,0.9,0.9,0.5,0.5,0.2,0.3,1.5,3.7,isaiah-watts-1
10,Jabe Mullins,24,0,9.2,0.6,2.1,.275,0.2,0.7,.294,0.4,1.4,.265,0.1,0.1,1.000,0.1,0.7,0.8,0.5,0.5,0.1,0.1,0.6,1.6,jabe-mullins-1
11,AJ Rohosy,10,0,1.2,0.2,0.3,.667,0.2,0.3,.667,0.0,0.0,,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.4,aj-rohosy-1
12,Dylan Darling,3,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.3,1.0,0.0,dylan-darling-1
13,Ben Olesen,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ben-olesen-2